CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS;INTERVAL;DELAY;VARIATION;TIMEOUT
200.17.202.34;60920;1745022438677955128;1745022438678316288;850000;0;100000512;99995775.229853;43757.94080120108;100170806.9930578
200.17.202.34;60920;1745022438777955343;1745022438778441472;850001;0;100125184;100008716.10686772;51028.93603430941;100212831.85100496
200.17.202.34;60920;1745022438877943451;1745022438878274048;850002;0;99832576;99991102.09618095;61778.65204897303;100238216.70437683
200.17.202.34;60920;1745022438977944326;1745022438978279936;850003;0;100005888;99992580.68656285;56931.51818779062;100220306.75931402
200.17.202.34;60920;1745022439077940732;1745022439078296576;850004;0;100016640;99994986.61790657;53403.70457835451;100208601.43621999
200.17.202.34;60920;1745022439177948761;1745022439178358016;850005;0;100061440;100001631.95611592;54044.138508927426;100217808.51015162
200.17.202.34;60920;1745022439277940263;1745022439278479616;850006;0;100121600;100013628.76050432;59436.84860760266;100251376.15493473
200.17.202.34;60920;1745022439377954211;1745022439378416384;850007;0;99936768;100005942.68445389;60410.632192231365;100247585.21322282
200.17.202.34;60920;1745022439477957189;1745022439478336000;850008;0;99919616;99997310.0160085;62138.97057385786;100245865.89830393
200.17.202.34;60920;1745022439577959868;1745022439578346752;850009;0;100010752;99998654.21440765;57134.85207570681;100227193.62271048
200.17.202.34;60920;1745022439677948905;1745022439678434560;850010;0;100087808;100007569.59296688;59445.207571447696;100245350.42325267
200.17.202.34;60920;1745022439777955022;1745022439778355968;850011;0;99921408;99998953.4336702;61255.23018132222;100243974.35439548
200.17.202.34;60920;1745022439877957790;1745022439878417408;850012;0;100061440;100005202.09030318;60753.49813287174;100248216.08283468
200.17.202.34;60920;1745022439977960538;1745022439978381056;850013;0;99963648;100001046.68127286;58418.016446871;100234718.74706034
200.17.202.34;60920;1745022440077960277;1745022440078503424;850014;0;100122368;100013178.81314558;63495.13348762611;100267159.34709609
200.17.202.34;60920;1745022440177962885;1745022440178472448;850015;0;99969024;100008763.33183102;61119.55332196581;100253241.54511888
200.17.202.34;60920;1745022440277950513;1745022440278344448;850016;0;99872000;99995086.99864793;67316.29785456206;100264352.19006617
200.17.202.34;60920;1745022440377960581;1745022440378354176;850017;0;100009728;99996551.09878314;61902.35819079231;100244160.53154631
200.17.202.34;60920;1745022440477951956;1745022440478302208;850018;0;99948032;99991699.18890482;60078.84126219527;100232014.5539536
200.17.202.34;60920;1745022440577993015;1745022440578430208;850019;0;100128000;100005329.27001435;66338.03013454117;100270681.3905525
200.17.202.34;60920;1745022440677964593;1745022440678434304;850020;0;100004096;100005205.94301291;59815.221422377865;100244466.82870242
200.17.202.34;60920;1745022440777955095;1745022440778337536;850021;0;99903232;99995008.54871163;63011.35415130285;100247053.96531683
200.17.202.34;60920;1745022440877966943;1745022440878367744;850022;0;100030208;99998528.49384047;59878.16935212548;100238041.17124897
200.17.202.34;60920;1745022440977951981;1745022440978292736;850023;0;99924992;99991174.84445643;60508.636862556355;100233209.39190666
200.17.202.34;60920;1745022441077926819;1745022441078315264;850024;0;100022528;99994310.16001078;57279.55717522223;100223428.38871168
200.17.202.34;60920;1745022441177959555;1745022441178320640;850025;0;100005376;99995416.7440097;52547.52705672967;100205606.85223663
200.17.202.34;60920;1745022441277964123;1745022441278369024;850026;0;100048384;100000713.46960874;52059.8273901828;100208952.77916947
200.17.202.34;60920;1745022441377966081;1745022441378347776;850027;0;99978752;99998517.32264787;48830.376915951485;100193838.83031167
200.17.202.34;60920;1745022441477962685;1745022441478325760;850028;0;99977984;99996463.99038309;45795.338262665195;100179645.34343375
200.17.202.34;60920;1745022441577955682;1745022441578350080;850029;0;100024320;99999249.59134479;43722.84530191981;100174140.97255246
200.17.202.34;60920;1745022441677961280;1745022441678331648;850030;0;99981568;99997481.43221031;40941.90399275896;100161249.04818134
200.17.202.34;60920;1745022441777962847;1745022441778345216;850031;0;100013568;99999090.08898927;38295.50469455579;100152272.10776749
200.17.202.34;60920;1745022441877954865;1745022441878325760;850032;0;99980544;99997235.48009035;36135.10223413521;100141775.8890269
200.17.202.34;60920;1745022441977957863;1745022441978481152;850033;0;100155392;100013051.13208131;46755.6788025902;100200073.84729168
200.17.202.34;60920;1745022442077966022;1745022442078328064;850034;0;99846912;99996437.21887319;57032.63280964997;100224567.75011179
200.17.202.34;60920;1745022442177962010;1745022442178336512;850035;0;100008448;99997638.29698586;52410.33983009851;100207279.65630625
200.17.202.34;60920;1745022442278005298;1745022442278362112;850036;0;100025600;100000434.46728729;49685.85911835995;100199177.90376073
200.17.202.34;60920;1745022442377963606;1745022442378309376;850037;0;99947264;99995117.42055857;49502.615262381136;100193127.8816081
200.17.202.34;60920;1745022442477962335;1745022442478322944;850038;0;100013568;99996962.47850272;46212.90588587096;100181814.1020462
200.17.202.34;60920;1745022442577957221;1745022442578299648;850039;0;99976704;99994936.63065246;43414.87836252961;100168596.14410257
200.17.202.34;60920;1745022442677961885;1745022442678354176;850040;0;100054528;100000895.76758721;44436.61376755518;100178642.22265744
200.17.202.34;60920;1745022442777957103;1745022442778336768;850041;0;99982592;99999065.3908285;41640.29147365018;100165626.5567231
200.17.202.34;60920;1745022442877959391;1745022442878311168;850042;0;99974400;99996598.85174565;39696.14750085018;100155383.44174905
200.17.202.34;60920;1745022442977964520;1745022442978302208;850043;0;99991040;99996042.9665711;36226.82940787442;100140950.28420259
200.17.202.34;60920;1745022443078005050;1745022443078366976;850044;0;100064768;100002915.46991399;38789.39947568805;100158073.06781673
200.17.202.34;60920;1745022443177972828;1745022443178345216;850045;0;99978240;100000447.9229226;37131.25182037888;100148972.93020411
200.17.202.34;60920;1745022443277970266;1745022443278356992;850046;0;100011776;100001580.73063034;34437.65357530717;100139331.34493157
200.17.202.34;60920;1745022443377962304;1745022443378425344;850047;0;100068352;100008257.85756731;37003.30246104542;100156271.0674115
200.17.202.34;60920;1745022443477959892;1745022443478438912;850048;0;100013568;100008788.87181059;33780.88503388236;100143912.41194612
200.17.202.34;60920;1745022443577991230;1745022443578490624;850049;0;100051712;100013081.18462953;34265.878067541154;100150144.6968997
200.17.202.34;60920;1745022443677964536;1745022443678445312;850050;0;99954688;100007241.86616658;36094.67687744471;100151620.57367636
200.17.202.34;60920;1745022443778001564;1745022443778394624;850051;0;99949312;100001448.87954992;37698.897144692295;100152244.4681287
200.17.202.34;60920;1745022443877964062;1745022443878309120;850052;0;99914496;99992753.59159492;41754.76658971502;100159772.65795378
200.17.202.34;60920;1745022443977960490;1745022443978307584;850053;0;99998464;99993324.63243544;38093.22668719942;100145697.53918424
200.17.202.34;60920;1745022444077970368;1745022444078355456;850054;0;100047872;99998779.3691919;39193.16709928949;100155552.03758906
200.17.202.34;60920;1745022444177965536;1745022444178306048;850055;0;99950592;99993960.63227272;39610.71361663257;100152403.48673925
200.17.202.34;60920;1745022444277935854;1745022444278350848;850056;0;100044800;99999044.56904545;40225.18535042389;100159945.31044716
200.17.202.34;60920;1745022444377964693;1745022444378342400;850057;0;99991552;99998295.31214091;36876.998029472685;100145803.30425881
200.17.202.34;60920;1745022444477958735;1745022444478384640;850058;0;100042240;100002689.78092682;37144.32013384306;100151267.0614622
200.17.202.34;60920;1745022444577959583;1745022444578355712;850059;0;99971072;99999528.00283414;36275.48840387288;100144629.95644963
200.17.202.34;60920;1745022444677954691;1745022444678401280;850060;0;100045568;100004132.00255072;36791.53930841347;100151298.15978438
200.17.202.34;60920;1745022444777964640;1745022444778453248;850061;0;100051968;100008915.60229565;37417.62514800692;100158586.10288768
200.17.202.34;60920;1745022444877962638;1745022444878456576;850062;0;100003328;100008356.84206608;34178.746839814165;100145071.82942533
200.17.202.34;60920;1745022444977971104;1745022444978446592;850063;0;99990016;100006522.75785947;32411.547941779594;100136168.94962658
200.17.202.34;60920;1745022445077960773;1745022445078466560;850064;0;100019968;100007867.28207353;30380.46494024888;100129389.14183453
200.17.202.34;60920;1745022445177966961;1745022445178466560;850065;0;100000000;100007080.55386618;28050.473832841773;100119282.44919755
200.17.202.34;60920;1745022445277963779;1745022445278457600;850066;0;99991040;100005476.49847956;26689.0762975136;100112232.80366962
200.17.202.34;60920;1745022445378000808;1745022445378506752;850067;0;100049152;100009844.04863161;27950.96380460139;100121647.90385002
200.17.202.34;60920;1745022445477972006;1745022445478426624;850068;0;99919872;100000846.84376845;33253.35180098601;100133860.25097239
200.17.202.34;60920;1745022445577959714;1745022445578344448;850069;0;99917824;99992544.55939162;37400.072560049186;100142144.84963182
200.17.202.34;60920;1745022445677963212;1745022445678378752;850070;0;100034304;99996720.50345246;37418.41495879777;100146394.16328765
200.17.202.34;60920;1745022445777971038;1745022445778447104;850071;0;100068352;100003883.65310723;40123.408152195414;100164377.28571601
200.17.202.34;60920;1745022445877962526;1745022445878432512;850072;0;99985408;100002036.08779651;37773.8761166268;100153131.59226301
200.17.202.34;60920;1745022445977963511;1745022445978395392;850073;0;99962880;99998120.47901686;37520.53640664966;100148202.62464346
200.17.202.34;60920;1745022446077964327;1745022446078451200;850074;0;100055808;100003889.23111516;38960.35965446846;100159730.66973303
200.17.202.34;60920;1745022446177963666;1745022446178461184;850075;0;100009984;100004498.70800366;35612.8528886561;100146950.11955827
200.17.202.34;60920;1745022446277978172;1745022446278489856;850076;0;100028672;100006916.0372033;34227.16387946079;100143824.69272114
200.17.202.34;60920;1745022446377955376;1745022446378426880;850077;0;99937024;99999926.83348298;37094.730839812786;100148305.75684223
200.17.202.34;60920;1745022446477954314;1745022446478386176;850078;0;99959296;99995863.75013468;37042.03276929918;100144031.88121188
200.17.202.34;60920;1745022446577964272;1745022446578372352;850079;0;99986176;99994894.9751212;34209.727004489265;100131733.88313916
200.17.202.34;60920;1745022446677962638;1745022446678438912;850080;0;100066560;100002061.47760908;37238.60654313203;100151015.90378161
200.17.202.34;60920;1745022446777962757;1745022446778426624;850081;0;99987712;100000626.52984817;34806.19887363615;100139851.32534271
200.17.202.34;60920;1745022446877961603;1745022446878368512;850082;0;99941888;99994752.67686336;36612.04667260828;100141200.86355379
200.17.202.34;60920;1745022446977963451;1745022446978371840;850083;0;100003328;99995610.20917702;33722.62108764573;100130500.6935276
200.17.202.34;60920;1745022447077957100;1745022447078367488;850084;0;99995648;99995613.98825932;30353.760152949613;100117029.02887112
200.17.202.34;60920;1745022447177961728;1745022447178359552;850085;0;99992064;99995258.9894334;27637.88308099394;100105810.52175736
200.17.202.34;60920;1745022447277957215;1745022447278377728;850086;0;100018176;99997550.69049005;26936.625723889338;100105297.19338562
200.17.202.34;60920;1745022447377957013;1745022447378359296;850087;0;99981568;99995952.42144105;25681.405295605244;100098678.04262348
200.17.202.34;60920;1745022447477957372;1745022447478404096;850088;0;100044800;100000837.17929694;27509.546836350662;100110875.36664234
200.17.202.34;60920;1745022447577962506;1745022447578420224;850089;0;100016128;100002366.26136725;26134.766015990943;100106905.32543121
200.17.202.34;60920;1745022447677962604;1745022447678361344;850090;0;99941120;99996241.63523053;29033.452937444483;100112375.4469803
200.17.202.34;60920;1745022447777964712;1745022447778367488;850091;0;100006144;99997231.87170748;27021.320472951622;100105317.15359929
200.17.202.34;60920;1745022447877965460;1745022447878414592;850092;0;100047104;100002219.08453675;28807.679971981845;100117449.80442467
200.17.202.34;60920;1745022447977962370;1745022447978375936;850093;0;99961344;99998131.57608308;29605.669583091556;100116554.25441545
200.17.202.34;60920;1745022448077961539;1745022448078425088;850094;0;100049152;100003233.61847478;31236.94077730425;100128181.381584
200.17.202.34;60920;1745022448177959557;1745022448178386432;850095;0;99961344;99999044.65662731;31883.312362305056;100126577.90607654
200.17.202.34;60920;1745022448277998696;1745022448278439936;850096;0;100053504;100004490.59096459;33596.322029616;100138875.87908305
200.17.202.34;60920;1745022448377981464;1745022448378417152;850097;0;99977216;100001763.13186812;32691.403013466803;100132528.743922
200.17.202.34;60920;1745022448477989847;1745022448478462720;850098;0;100045568;100006143.61868131;33364.70084398896;100139602.42205727
200.17.202.34;60920;1745022448577951245;1745022448578378496;850099;0;99915776;99997106.85681318;38161.316440907816;100149752.1225768
200.17.202.34;60920;1745022448677970623;1745022448678386176;850100;0;100007680;99998164.17113186;35296.76768363061;100139351.24186638
200.17.202.34;60920;1745022448777971031;1745022448778405888;850101;0;100019712;100000318.95401868;33706.39551339933;100135144.53607228
200.17.202.34;60920;1745022448877971980;1745022448878418176;850102;0;100012288;100001515.85861681;31412.970100377996;100127167.73901832
200.17.202.34;60920;1745022448977961577;1745022448978408192;850103;0;99990016;100000365.87275513;29306.660365852713;100117592.51421854
200.17.202.34;60920;1745022449077957235;1745022449078444800;850104;0;100036608;100003990.08547962;29637.78578130573;100122541.22860484
200.17.202.34;60920;1745022449177960154;1745022449178447616;850105;0;100002816;100003872.67693165;26779.674896340104;100110991.37651701
200.17.202.34;60920;1745022449277962062;1745022449278468608;850106;0;100020992;100005584.60923849;25642.446482857045;100108154.39516991
200.17.202.34;60920;1745022449377976721;1745022449378376704;850107;0;99908096;99995835.74831463;31852.176666034735;100123244.45497878
200.17.202.34;60920;1745022449477962929;1745022449478475264;850108;0;100098560;100006108.17348318;37912.14165111346;100157756.74008763
200.17.202.34;60920;1745022449577955646;1745022449578460416;850109;0;99985152;100004012.55613486;36006.983099488585;100148040.48853283
200.17.202.34;60920;1745022449677955792;1745022449678475264;850110;0;100014848;100005096.10052137;33381.47473740265;100138621.99947098
200.17.202.34;60920;1745022449777956111;1745022449778596608;850111;0;100121344;100016720.89046924;40505.63821673857;100178743.44333619
200.17.202.34;60920;1745022449877955229;1745022449878414592;850112;0;99817984;99996847.20142232;54341.39453729659;100214212.7795715
200.17.202.34;60920;1745022449977959937;1745022449978431744;850113;0;100017152;99998877.68128009;50734.686955557794;100201816.42910232
200.17.202.34;60920;1745022450077954056;1745022450078344192;850114;0;99912448;99990234.71315208;53439.889575210094;100203994.27145292
200.17.202.34;60920;1745022450177960443;1745022450178348544;850115;0;100004352;99991646.44183688;49366.456434001215;100189112.26757288
200.17.202.34;60920;1745022450277956881;1745022450278355456;850116;0;100006912;99993172.9976532;45803.71102528097;100176387.84175433
200.17.202.34;60920;1745022450377955359;1745022450378398976;850117;0;100043520;99998207.69788788;45754.57013396462;100181225.97842374
200.17.202.34;60920;1745022450477958077;1745022450478333696;850118;0;99934720;99991858.9280991;46893.00593047774;100179430.951821
200.17.202.34;60920;1745022450577959506;1745022450578312448;850119;0;99978752;99990548.23528919;43383.32886634859;100164081.55075458
200.17.202.34;60920;1745022450677968294;1745022450678304000;850120;0;99991552;99990648.61176027;39135.33480368637;100147189.95097502
200.17.202.34;60920;1745022450777963732;1745022450778311680;850121;0;100007680;99992351.75058424;36754.62626489326;100139370.25564381
200.17.202.34;60920;1745022450877964091;1745022450878320896;850122;0;100009216;99994038.17552581;34596.94608582251;100132425.9598691
200.17.202.34;60920;1745022450977971679;1745022450978404096;850123;0;100083200;100002954.35797323;39161.815679916974;100159601.6206929
200.17.202.34;60920;1745022451077949196;1745022451078289664;850124;0;99885568;99991215.72217591;45810.40632951638;100174457.34749398
200.17.202.34;60920;1745022451177969254;1745022451178377984;850125;0;100088320;100000926.14995833;49968.75070073201;100200801.15276125
200.17.202.34;60920;1745022451277955148;1745022451278345472;850126;0;99967488;99997582.33496249;47981.30912690753;100189507.57147011
200.17.202.34;60920;1745022451377959567;1745022451378376448;850127;0;100030976;100000921.70146623;46188.60806759352;100185676.13373661
200.17.202.34;60920;1745022451477962355;1745022451478321408;850128;0;99944960;99995325.53131962;46606.300392795994;100181750.7328908
200.17.202.34;60920;1745022451577959736;1745022451578309888;850129;0;99988480;99994640.97818767;42561.76817228293;100164888.0508768
200.17.202.34;60920;1745022451677963925;1745022451678331648;850130;0;100021760;99997352.8803689;40746.30331816431;100160338.09364156
200.17.202.34;60920;1745022451777961843;1745022451778353920;850131;0;100022272;99999844.79233202;38914.393753145545;100155502.3673446
200.17.202.34;60920;1745022451877958621;1745022451878283520;850132;0;99929600;99992820.31309882;41344.9856877128;100158200.25584967
200.17.202.34;60920;1745022451977962448;1745022451978308096;850133;0;100024576;99995995.88178894;40068.4989400476;100156269.87754913
200.17.202.34;60920;1745022452077958756;1745022452078321408;850134;0;100013312;99997727.49361005;37620.099685037414;100148207.8923502
200.17.202.34;60920;1745022452177964964;1745022452178394368;850135;0;100072960;100005250.74424905;40629.01529162909;100167766.80541556
200.17.202.34;60920;1745022452277958722;1745022452278331648;850136;0;99937280;99998453.66982414;42683.480744880006;100169187.59280366
200.17.202.34;60920;1745022452377965151;1745022452378337024;850137;0;100005376;99999145.90284172;39038.14238622031;100155298.4723866
200.17.202.34;60920;1745022452477959289;1745022452478346240;850138;0;100009216;100000152.91255754;36040.63689184405;100144315.46012492
200.17.202.34;60920;1745022452577955087;1745022452578308096;850139;0;99961856;99996323.22130178;35883.29533283756;100139856.40263313
200.17.202.34;60920;1745022452677975986;1745022452678403328;850140;0;100095232;100006214.09917161;41196.755882392936;100171001.12270118
200.17.202.34;60920;1745022452777968646;1745022452778392832;850141;0;99989504;100004543.08925445;38580.989219599025;100158867.04613285
200.17.202.34;60920;1745022452877971075;1745022452878444544;850142;0;100051712;100009259.980329;38968.092264738436;100165132.34938796
200.17.202.34;60920;1745022452977960212;1745022452978398976;850143;0;99954432;100003777.18229611;40005.80126787581;100163800.38736762
200.17.202.34;60920;1745022453077959030;1745022453078422016;850144;0;100023040;100005703.4640665;37738.87473443769;100156658.96300426
200.17.202.34;60920;1745022453177933968;1745022453178361088;850145;0;99939072;99999040.31765985;39961.81902697941;100158887.59376778
200.17.202.34;60920;1745022453277954144;1745022453278387200;850146;0;100026112;100001747.48589388;38402.08853489393;100155355.84003346
200.17.202.34;60920;1745022453377952642;1745022453378381824;850147;0;99994624;100001035.1373045;35202.993411854506;100141847.11095192
200.17.202.34;60920;1745022453477954848;1745022453478388736;850148;0;100006912;100001622.82357405;32211.61171326393;100130469.27042711
200.17.202.34;60920;1745022453577971816;1745022453578434304;850149;0;100045568;100006017.34121664;32945.51642027367;100137799.40689774
200.17.202.34;60920;1745022453677972872;1745022453678486784;850150;0;100052480;100010663.60709497;33832.60406874897;100145994.02336997
200.17.202.34;60920;1745022453777967729;1745022453778487552;850151;0;100000768;100009674.04638548;31339.948300422275;100135033.83958717
200.17.202.34;60920;1745022453877968446;1745022453878481920;850152;0;99994368;100008143.44174694;29583.497645073574;100126477.43232723
200.17.202.34;60920;1745022453977968015;1745022453978437376;850153;0;99955456;100002874.69757223;31367.017637789344;100128342.76812339
200.17.202.34;60920;1745022454077961482;1745022454078425856;850154;0;99988480;100001435.22781502;29525.83865551212;100119538.58243707
200.17.202.34;60920;1745022454177957630;1745022454178422272;850155;0;99996416;100000933.3050335;27024.985293311405;100109033.24620675
200.17.202.34;60920;1745022454277957319;1745022454278395904;850156;0;99973632;99998203.17453016;26779.604216996606;100105321.59139815
200.17.202.34;60920;1745022454377958907;1745022454378419456;850157;0;100023552;100000738.05707715;26383.038087581495;100106270.20942748
200.17.202.34;60920;1745022454477955605;1745022454478364928;850158;0;99945472;99995211.45136945;28718.679415768296;100110086.16903253
200.17.202.34;60920;1745022454577958004;1745022454578387200;850159;0;100022272;99997917.50623251;28282.260850939972;100111046.54963627
200.17.202.34;60920;1745022454677960894;1745022454678319360;850160;0;99932160;99991341.75560926;31372.210326771878;100116830.59691635
200.17.202.34;60920;1745022454777967732;1745022454778539776;850161;0;100220416;100014249.18004833;48851.67128926153;100209655.86520538
200.17.202.34;60920;1745022454877957241;1745022454878338304;850162;0;99798528;99992677.0620435;63381.410364685675;100246202.70350225
200.17.202.34;60920;1745022454977958049;1745022454978397696;850163;0;100059392;99999348.55583915;63047.613744302;100251539.01081637
200.17.202.34;60920;1745022455077959287;1745022455078401792;850164;0;100004096;99999823.30025524;57170.122344347896;100228503.78963263
200.17.202.34;60920;1745022455177952345;1745022455178379008;850165;0;99977216;99997562.57022971;53487.76713288402;100211513.63876125
200.17.202.34;60920;1745022455277949813;1745022455278416640;850166;0;100037632;100001569.51320675;51745.2390989206;100208550.46960244
200.17.202.34;60920;1745022455377931558;1745022455378411264;850167;0;99994624;100000874.96188608;47195.81137763636;100189658.20739663
200.17.202.34;60920;1745022455477957683;1745022455478355712;850168;0;99944448;99995232.26569746;47554.65680961916;100185450.89293595
200.17.202.34;60920;1745022455577957331;1745022455578317056;850169;0;99961344;99991843.43912773;45849.13504143008;100175239.97929345
200.17.202.34;60920;1745022455677963799;1745022455678419200;850170;0;100102144;100002873.49521497;51191.272015790186;100207638.58327813
200.17.202.34;60920;1745022455777983885;1745022455778407680;850171;0;99988480;100001434.14569348;47367.559383559266;100190904.38322772
200.17.202.34;60920;1745022455877962948;1745022455878392832;850172;0;99985152;99999805.93112414;44096.196557616924;100176190.71735461
200.17.202.34;60920;1745022455977983837;1745022455978369024;850173;0;99976192;99997444.53801173;41811.8307030282;100164691.86082384
200.17.202.34;60920;1745022456077964705;1745022456078444800;850174;0;100075776;100005277.68421055;44680.47921167001;100183999.60105723
200.17.202.34;60920;1745022456177959469;1745022456178444288;850175;0;99999488;100004698.7157895;40733.5028694527;100167632.72726731
200.17.202.34;60920;1745022456277945337;1745022456278387200;850176;0;99942912;99998520.04421055;42220.95700356275;100167403.87222481
200.17.202.34;60920;1745022456377971042;1745022456378433024;850177;0;100045824;100003250.4397895;42256.2173242561;100172275.30908653
200.17.202.34;60920;1745022456477959650;1745022456478417664;850178;0;99984640;100001389.39581056;39705.535172886426;100160211.53650211
200.17.202.34;60920;1745022456577962268;1745022456578458880;850179;0;100041216;100005372.0562295;39319.37603264758;100162649.56036009
200.17.202.34;60920;1745022456677964735;1745022456678472704;850180;0;100013824;100006217.25060657;36148.11336872616;100150809.70408148
200.17.202.34;60920;1745022456777949588;1745022456778488832;850181;0;100016128;100007208.3255459;33425.269477262846;100140909.40345496
200.17.202.34;60920;1745022456877960116;1745022456878471680;850182;0;99982848;100004772.29299131;32275.171828667597;100133872.98030598
200.17.202.34;60920;1745022456977969595;1745022456978473216;850183;0;100001536;100004448.66369218;29338.921015018474;100121804.34775224
200.17.202.34;60920;1745022457077962411;1745022457078480896;850184;0;100007680;100004771.79732296;26695.849181220758;100111555.19404784
200.17.202.34;60920;1745022457177962689;1745022457178465280;850185;0;99984384;100002733.01759067;25861.16602216586;100106177.68167934
200.17.202.34;60920;1745022457277971168;1745022457278488576;850186;0;100023296;100004789.3158316;25125.717836789114;100105292.18717876
200.17.202.34;60920;1745022457377960756;1745022457378448128;850187;0;99959552;100000265.58424845;26684.50447795554;100107003.60216027
200.17.202.34;60920;1745022457477956034;1745022457478426112;850188;0;99977984;99998037.42582361;26021.39661252139;100102123.0122737
200.17.202.34;60920;1745022457577956023;1745022457578394368;850189;0;99968256;99995059.28324124;26099.585275393467;100099457.62434281
200.17.202.34;60920;1745022457677960621;1745022457678458624;850190;0;100064256;100001978.95491712;29717.331256142323;100120848.2799417
200.17.202.34;60920;1745022457777952529;1745022457778415360;850191;0;99956736;99997454.65942541;30817.464073068855;100120724.51571769
200.17.202.34;60920;1745022457877940997;1745022457878298112;850192;0;99882752;99985984.39348288;38058.957014049854;100138220.22153908
200.17.202.34;60920;1745022457977951876;1745022457978395136;850193;0;100097024;99997088.3541346;44246.62589918444;100174074.85773134
200.17.202.34;60920;1745022458077946514;1745022458078370304;850194;0;99975168;99994896.31872115;41794.795181380534;100162075.49944666
200.17.202.34;60920;1745022458177958162;1745022458178364416;850195;0;99994112;99994817.88684903;37685.90434814557;100145561.50424162
200.17.202.34;60920;1745022458277940030;1745022458278286080;850196;0;99921664;99987502.49816413;40501.163729744236;100149507.15308312
200.17.202.34;60920;1745022458377951169;1745022458378417408;850197;0;100131328;100001885.04834771;49395.34252199866;100199466.41843571
200.17.202.34;60920;1745022458477956557;1745022458478446592;850198;0;100029184;100004614.94351295;46912.71391850415;100192265.79918696
200.17.202.34;60920;1745022458577954386;1745022458578381824;850199;0;99935232;99997676.64916165;48465.90744281891;100191540.27893293
200.17.202.34;60920;1745022458677954653;1745022458678396672;850200;0;100014848;99999393.78424549;45164.73827398792;100180052.73734145
200.17.202.34;60920;1745022458777958822;1745022458778388992;850201;0;99992320;99998686.40582095;41284.90502868422;100163826.0259357
200.17.202.34;60920;1745022458877947320;1745022458878330880;850202;0;99941888;99993006.56523885;42268.27104970063;100162079.64943765
200.17.202.34;60920;1745022458977960208;1745022458978331904;850203;0;100001024;99993808.30871497;38763.013073233466;100148860.3610079
200.17.202.34;60920;1745022459077935486;1745022459078318592;850204;0;99986688;99993096.27784348;35527.53955025766;100135206.4360445
200.17.202.34;60920;1745022459177967130;1745022459178387968;850205;0;100069376;100000724.25005913;38839.96058931911;100156084.0924164
200.17.202.34;60920;1745022459277953338;1745022459278370816;850206;0;99982848;99998936.62505321;36564.827035708404;100145195.93319605
200.17.202.34;60920;1745022459377977016;1745022459378426112;850207;0;100055296;100004572.56254789;37980.688077348335;100156495.31485729
200.17.202.34;60920;1745022459477959144;1745022459478420736;850208;0;99994624;100003577.7062931;35077.98989892411;100143889.6658888
200.17.202.34;60920;1745022459577960140;1745022459578376192;850209;0;99955456;99998765.5356638;35901.14447541155;100142370.11356544
200.17.202.34;60920;1745022459677967838;1745022459678408960;850210;0;100032768;100002165.78209741;35371.251818128985;100143650.78936993
200.17.202.34;60920;1745022459777969614;1745022459778460928;850211;0;100051968;100007146.00388767;36316.32624754926;100152411.30887787
200.17.202.34;60920;1745022459877961183;1745022459878451968;850212;0;99991040;100005535.4034989;34134.233972684626;100142072.33938964
200.17.202.34;60920;1745022459977962991;1745022459978399232;850213;0;99947264;99999708.26314902;35965.23689031847;100143569.2107103
200.17.202.34;60920;1745022460077963559;1745022460078447872;850214;0;100048640;100004601.43683413;36772.569517873955;100151691.71490562
200.17.202.34;60920;1745022460177961487;1745022460178432256;850215;0;99984384;100002579.69315073;34914.881881159454;100142239.22067536
200.17.202.34;60920;1745022460277958376;1745022460278423040;850216;0;99990784;100001400.12383567;32485.006076610305;100131340.14814211
200.17.202.34;60920;1745022460377943934;1745022460378366464;850217;0;99943424;99995602.51145211;34454.35661416014;100133419.93790875
200.17.202.34;60920;1745022460477957561;1745022460478434304;850218;0;100067840;100002826.2603069;37510.29492205465;100152867.43999511
200.17.202.34;60920;1745022460577958904;1745022460578446080;850219;0;100011776;100003721.2342762;34564.74200222865;100141980.20228513
200.17.202.34;60920;1745022460677955932;1745022460678435072;850220;0;99988992;100002248.3108486;32433.89888686516;100131983.90639606
200.17.202.34;60920;1745022460777957890;1745022460778384384;850221;0;99949312;99996954.67976373;33954.77697455208;100132773.78766194
200.17.202.34;60920;1745022460877955909;1745022460878431744;850222;0;100047360;100001995.21178736;35095.77809836108;100142378.3241808
200.17.202.34;60920;1745022460977962835;1745022460978451968;850223;0;100020224;100003818.09060863;33226.79122766231;100136725.25551927
200.17.202.34;60920;1745022461077957543;1745022461078410240;850224;0;99958272;99999263.48154777;34003.26025967337;100135276.52258646
200.17.202.34;60920;1745022461177950202;1745022461178313728;850225;0;99903488;99989685.933393;39222.72757300619;100146576.84368503
200.17.202.34;60920;1745022461277958440;1745022461278365184;850226;0;100051456;99995862.9400537;40859.76081033543;100159301.98329504
200.17.202.34;60920;1745022461377961278;1745022461378402304;850227;0;100037120;99999988.64604834;40486.92012446816;100161936.3265462
200.17.202.34;60920;1745022461477969747;1745022461478432000;850228;0;100029696;100002959.3814435;39111.88996767129;100159406.94131419
200.17.202.34;60920;1745022461577957114;1745022461578443008;850229;0;100011008;100003764.24329916;35925.07664098852;100147464.54986311
200.17.202.34;60920;1745022461677958882;1745022461678453504;850230;0;100010496;100004437.41896924;32938.42707996529;100136191.1272891
