sequence_number,time_taken_to_correct_ns
2530,1999416832.0
10244,1999280896.0
12117,1999648000.0
13908,1999170304.0
15376,1999560704.0
39856,1999665152.0
42374,1999499264.0
56114,1999770368.0
63325,1997842432.0
72841,1999426560.0
76112,1998658816.0
78190,1999591168.0
84486,1999464960.0
85807,1999636224.0
106687,1999217920.0
108373,1999276544.0
147819,1999443712.0
148957,1999667712.0
156136,1999305984.0
160888,1999469312.0
169887,1999728128.0
190358,1999802880.0
196970,1999532800.0
200755,1999717632.0
203011,1999614464.0
222945,1999777280.0
229510,1999629312.0
238073,1999754752.0
239049,1999324160.0
247525,1999496192.0
253164,1999504384.0
255051,1999469312.0
259816,1999390720.0
266080,1998999808.0
293655,1999442176.0
295304,1999534336.0
297654,1999398656.0
300176,1999137536.0
306875,1999559680.0
317171,1999618048.0
320174,1999664128.0
329472,1999668224.0
364564,1999608320.0
365039,1999464960.0
368857,1999845888.0
369851,1999316736.0
372137,22498902528.0
377348,1999513856.0
379809,1999510528.0
383728,1999225600.0
391359,1999461120.0
409606,1999656704.0
414423,1999617792.0
416828,1999485696.0
437706,1999427840.0
443056,1999276288.0
447684,1999441920.0
448942,1999320832.0
449038,1999791872.0
450959,1999490048.0
457744,1999287040.0
462104,1999685376.0
464185,1999575552.0
465070,1999623424.0
471049,1999574272.0
475273,1999582720.0
485463,1999484672.0
491372,1999374080.0
511416,1999546112.0
512449,1999675904.0
536455,1999808256.0
562086,1999635968.0
576067,1999697152.0
605096,1999646464.0
617833,1999407360.0
630250,1999572480.0
640766,1999633408.0
652715,1999375104.0
656231,1999562752.0
662254,1999677696.0
666482,1999666944.0
667455,1999601664.0
668121,1999470080.0
674926,1999554816.0
675661,1999524864.0
696384,1999488768.0
701198,1999500032.0
702620,1998560256.0
704599,1999687424.0
707444,1999353600.0
717837,1999715584.0
721026,1999536128.0
739135,1999806464.0
739479,1999590656.0
743183,1999525888.0
743955,1999596032.0
751875,1999290880.0
754021,1999790080.0
754971,1999485440.0
756049,1999520512.0
776682,1999660544.0
809643,1999576832.0
825916,1999518976.0
829959,1999809280.0
840224,1999459072.0
848641,1999761152.0
848877,1999671552.0
856077,1998869248.0
